Index,date,prcp,tobs
0,2010-12-01,0.04,76.0
1,2010-12-03,0.0,74.0
2,2010-12-04,0.0,74.0
3,2010-12-06,0.0,64.0
4,2010-12-07,0.0,64.0
5,2010-12-08,0.0,67.0
6,2010-12-09,0.0,77.0
7,2010-12-10,1.58,66.0
8,2010-12-11,0.77,69.0
9,2010-12-12,0.0,68.0
10,2010-12-13,0.0,68.0
11,2010-12-14,0.0,71.0
12,2010-12-15,0.0,74.0
13,2010-12-16,0.0,67.0
14,2010-12-17,0.0,66.0
15,2010-12-18,0.0,69.0
16,2010-12-19,1.4,71.0
17,2010-12-23,0.0,70.0
18,2010-12-24,0.0,70.0
19,2010-12-26,,74.0
20,2010-12-27,0.13,74.0
21,2010-12-28,0.55,71.0
22,2010-12-29,0.06,75.0
23,2010-12-30,0.01,75.0
24,2010-12-31,0.0,72.0
25,2011-12-01,0.03,69.0
26,2011-12-02,0.08,68.0
27,2011-12-03,0.0,73.0
28,2011-12-04,0.0,74.0
29,2011-12-05,0.0,73.0
30,2011-12-06,0.0,73.0
31,2011-12-07,0.0,73.0
32,2011-12-08,0.0,73.0
33,2011-12-09,0.13,71.0
34,2011-12-10,0.07,73.0
35,2011-12-11,0.07,73.0
36,2011-12-12,0.08,77.0
37,2011-12-13,0.4,72.0
38,2011-12-14,0.7,71.0
39,2011-12-15,0.0,73.0
40,2011-12-16,0.01,70.0
41,2011-12-17,0.07,73.0
42,2011-12-18,0.02,69.0
43,2011-12-19,0.15,74.0
44,2011-12-20,0.02,72.0
45,2011-12-21,0.18,71.0
46,2011-12-22,0.03,72.0
47,2011-12-23,0.04,72.0
48,2011-12-24,0.1,70.0
49,2011-12-25,0.03,73.0
50,2011-12-26,0.0,73.0
51,2011-12-27,0.0,72.0
52,2011-12-28,0.0,73.0
53,2011-12-29,0.0,73.0
54,2011-12-30,0.0,72.0
55,2011-12-31,0.01,63.0
56,2012-12-01,0.0,65.0
57,2012-12-02,0.0,71.0
58,2012-12-03,0.0,76.0
59,2012-12-04,0.2,70.0
60,2012-12-05,0.01,76.0
61,2012-12-06,,69.0
62,2012-12-07,,69.0
63,2012-12-08,0.0,69.0
64,2012-12-09,0.0,74.0
65,2012-12-10,0.0,76.0
66,2012-12-11,0.0,74.0
67,2012-12-12,0.0,73.0
68,2012-12-13,0.14,73.0
69,2012-12-14,0.09,74.0
70,2012-12-15,0.01,73.0
71,2012-12-16,0.02,73.0
72,2012-12-17,0.02,73.0
73,2012-12-18,0.12,74.0
74,2012-12-19,0.0,74.0
75,2012-12-20,0.1,71.0
76,2012-12-21,0.0,73.0
77,2012-12-22,0.0,72.0
78,2012-12-23,0.0,64.0
79,2012-12-24,0.0,66.0
80,2012-12-26,0.03,73.0
81,2012-12-27,0.0,72.0
82,2012-12-28,0.0,65.0
83,2012-12-29,0.0,64.0
84,2012-12-30,0.0,69.0
85,2012-12-31,0.04,68.0
86,2013-12-01,0.0,77.0
