Index,date,prcp,tobs
0,2010-06-01,0.0,78.0
1,2010-06-02,0.01,76.0
2,2010-06-03,0.0,78.0
3,2010-06-04,0.0,76.0
4,2010-06-05,0.0,77.0
5,2010-06-06,0.0,78.0
6,2010-06-07,0.0,77.0
7,2010-06-08,0.0,78.0
8,2010-06-09,0.0,78.0
9,2010-06-10,0.0,79.0
10,2010-06-11,0.0,78.0
11,2010-06-12,0.0,78.0
12,2010-06-13,0.0,78.0
13,2010-06-14,0.0,77.0
14,2010-06-15,0.0,78.0
15,2010-06-16,0.0,78.0
16,2010-06-17,0.0,77.0
17,2010-06-18,0.0,77.0
18,2010-06-19,0.0,82.0
19,2010-06-20,0.0,78.0
20,2010-06-21,0.0,78.0
21,2010-06-22,0.0,78.0
22,2010-06-23,0.0,78.0
23,2010-06-24,0.0,78.0
24,2010-06-25,0.0,77.0
25,2010-06-26,0.02,76.0
26,2010-06-27,0.0,78.0
27,2010-06-28,0.0,78.0
28,2010-06-29,0.0,78.0
29,2010-06-30,0.0,78.0
30,2011-06-01,0.07,77.0
31,2011-06-02,0.0,78.0
32,2011-06-03,0.56,73.0
33,2011-06-04,0.89,70.0
34,2011-06-05,0.0,76.0
35,2011-06-06,0.0,77.0
36,2011-06-07,0.0,77.0
37,2011-06-08,0.03,77.0
38,2011-06-09,0.01,77.0
39,2011-06-10,0.0,78.0
40,2011-06-11,0.0,77.0
41,2011-06-12,0.0,77.0
42,2011-06-13,0.0,78.0
43,2011-06-14,0.0,78.0
44,2011-06-15,0.0,77.0
45,2011-06-17,0.0,78.0
46,2011-06-18,0.0,78.0
47,2011-06-19,0.05,75.0
48,2011-06-20,0.06,76.0
49,2011-06-21,0.07,76.0
50,2011-06-24,,77.0
51,2011-06-25,0.0,78.0
52,2011-06-26,0.0,76.0
53,2011-06-27,0.01,77.0
54,2011-06-28,0.01,75.0
55,2011-06-29,0.0,77.0
56,2012-06-01,0.02,76.0
57,2012-06-02,0.02,76.0
58,2012-06-03,0.0,75.0
59,2012-06-04,0.0,77.0
60,2012-06-05,0.0,77.0
61,2012-06-06,0.0,76.0
62,2012-06-07,0.0,78.0
63,2012-06-08,,77.0
64,2012-06-09,,76.0
65,2012-06-10,0.0,77.0
66,2012-06-11,0.0,76.0
67,2012-06-12,0.0,76.0
68,2012-06-13,0.0,77.0
69,2012-06-14,0.0,77.0
70,2012-06-15,0.0,78.0
71,2012-06-16,0.0,77.0
72,2012-06-17,0.0,77.0
73,2012-06-18,0.0,77.0
74,2012-06-19,0.0,76.0
75,2012-06-20,0.0,75.0
76,2012-06-21,0.0,76.0
77,2012-06-22,0.0,76.0
78,2012-06-23,0.0,77.0
79,2012-06-24,0.0,76.0
80,2012-06-25,0.03,73.0
81,2012-06-26,0.15,73.0
82,2012-06-27,0.01,75.0
83,2012-06-28,0.0,77.0
84,2012-06-29,0.05,76.0
85,2012-06-30,0.0,77.0
86,2013-06-01,0.01,79.0
87,2013-06-02,0.0,78.0
88,2013-06-03,0.0,79.0
89,2013-06-04,0.0,78.0
90,2013-06-05,0.0,78.0
91,2013-06-06,0.0,79.0
92,2013-06-07,0.0,77.0
93,2013-06-08,0.0,77.0
94,2013-06-09,0.0,77.0
95,2013-06-10,0.0,77.0
96,2013-06-11,0.0,77.0
97,2013-06-12,0.0,78.0
98,2013-06-13,0.0,77.0
99,2013-06-14,0.37,76.0
100,2013-06-15,0.0,78.0
101,2013-06-16,0.0,78.0
102,2013-06-17,0.0,77.0
103,2013-06-18,0.01,78.0
104,2013-06-19,0.0,78.0
105,2013-06-20,0.04,73.0
106,2013-06-21,0.12,76.0
107,2013-06-22,0.04,77.0
108,2013-06-23,0.02,75.0
109,2013-06-24,0.35,76.0
110,2013-06-25,0.03,74.0
111,2013-06-26,0.01,75.0
112,2013-06-27,0.0,77.0
113,2013-06-28,0.0,76.0
114,2013-06-29,0.03,77.0
115,2013-06-30,0.01,78.0
116,2014-06-01,0.0,79.0
117,2014-06-02,0.66,77.0
118,2014-06-03,0.01,78.0
119,2014-06-04,0.0,79.0
120,2014-06-05,0.0,78.0
121,2014-06-06,0.0,78.0
122,2014-06-07,0.03,78.0
123,2014-06-08,0.0,78.0
124,2014-06-09,0.0,79.0
125,2014-06-10,0.0,79.0
126,2014-06-11,0.0,82.0
127,2014-06-12,0.0,80.0
128,2014-06-13,0.0,79.0
129,2014-06-14,0.0,79.0
130,2014-06-15,0.01,78.0
131,2014-06-16,0.0,78.0
132,2014-06-17,0.03,77.0
133,2014-06-18,0.15,78.0
134,2014-06-19,0.01,78.0
135,2014-06-20,0.07,73.0
136,2014-06-21,0.01,75.0
137,2014-06-22,0.01,75.0
138,2014-06-23,0.19,76.0
139,2014-06-24,0.0,84.0
140,2014-06-25,0.05,79.0
141,2014-06-26,0.06,76.0
142,2014-06-27,0.04,79.0
143,2014-06-28,0.0,79.0
144,2014-06-29,0.01,77.0
145,2014-06-30,0.02,79.0
146,2015-06-01,0.0,78.0
147,2015-06-02,0.0,78.0
148,2015-06-03,0.0,79.0
149,2015-06-04,0.0,77.0
150,2015-06-05,0.0,79.0
151,2015-06-06,0.0,78.0
152,2015-06-07,0.0,78.0
153,2015-06-08,0.0,78.0
154,2015-06-09,0.0,79.0
155,2015-06-10,0.0,77.0
156,2015-06-11,0.0,78.0
157,2015-06-12,0.0,78.0
158,2015-06-13,0.0,78.0
159,2015-06-14,0.0,78.0
160,2015-06-15,0.0,79.0
161,2015-06-16,0.0,79.0
162,2015-06-17,0.03,77.0
163,2015-06-18,0.0,78.0
164,2015-06-19,0.01,78.0
165,2015-06-20,0.04,78.0
166,2015-06-21,0.0,79.0
167,2015-06-22,0.0,79.0
168,2015-06-23,0.03,77.0
169,2015-06-24,0.03,79.0
170,2015-06-25,0.03,79.0
171,2015-06-26,0.0,79.0
172,2015-06-27,0.0,81.0
173,2015-06-28,0.0,76.0
174,2015-06-29,0.0,80.0
175,2015-06-30,0.0,78.0
176,2016-06-01,0.06,76.0
177,2016-06-02,0.0,71.0
178,2016-06-03,0.0,71.0
179,2016-06-04,0.0,74.0
180,2016-06-05,0.0,76.0
181,2016-06-06,0.0,78.0
182,2016-06-07,0.01,77.0
