City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Los Llanos De Aridane,28.6585,-17.9182,71.13,99,100,10.36,ES,2022-09-25 15:14:12
1,Wokha,26.1,94.2667,60.13,100,100,0.56,IN,2022-09-25 15:14:12
2,East London,-33.0153,27.9116,67.14,82,0,21.85,ZA,2022-09-25 15:14:13
3,Leningradskiy,69.3833,178.4167,30.96,93,100,6.11,RU,2022-09-25 15:14:13
4,Rikitea,-23.1203,-134.9692,67.59,63,12,20.0,PF,2022-09-25 15:14:14
5,Conakry,9.538,-13.6773,80.67,78,75,11.5,GN,2022-09-25 15:14:14
6,Cidreira,-30.1811,-50.2056,64.27,72,90,16.62,BR,2022-09-25 15:14:16
7,Mataura,-46.1927,168.8643,49.48,97,100,1.39,NZ,2022-09-25 15:14:16
8,Amahai,-3.3333,128.9167,78.22,83,95,4.23,ID,2022-09-25 15:14:16
9,Norman Wells,65.282,-126.8329,23.04,93,40,4.61,CA,2022-09-25 15:14:17
10,Hithadhoo,-0.6,73.0833,76.95,88,100,11.81,MV,2022-09-25 15:14:17
11,Punta Arenas,-53.15,-70.9167,48.31,49,40,23.02,CL,2022-09-25 15:07:03
12,Faanui,-16.4833,-151.75,77.2,77,17,19.04,PF,2022-09-25 15:14:18
13,Kaiyuan,23.6977,103.3037,64.27,93,93,3.4,CN,2022-09-25 15:14:18
14,Hermanus,-34.4187,19.2345,66.79,76,100,8.03,ZA,2022-09-25 15:14:19
15,Marawi,7.9986,124.2928,70.68,87,100,5.57,PH,2022-09-25 15:14:19
16,Albany,42.6001,-73.9662,62.73,67,95,1.01,US,2022-09-25 15:10:37
17,Bredasdorp,-34.5322,20.0403,64.09,63,89,11.3,ZA,2022-09-25 15:14:20
18,Fortuna,40.5982,-124.1573,50.34,56,0,2.89,US,2022-09-25 15:14:20
19,Pyaozerskiy,65.8333,31.1667,44.15,73,100,6.73,RU,2022-09-25 15:14:21
20,Sur,22.5667,59.5289,86.86,62,6,1.01,OM,2022-09-25 15:14:21
